CIK,Filed As Of Date,Conformed Period Of Report,Keyword Whole,Keyword Item 1
0000790526,20180319,20171231,1,1
0000790526,20110311,20101231,1,1
0000790526,20090316,20081231,1,1
0000790526,20160315,20151231,1,1
0000790526,20150316,20141231,1,1
0000790526,20170317,20161231,1,1
0000790526,20100315,20091231,1,1
0000790526,20140317,20131231,1,1
0000790526,20130318,20121231,1,1
0000790526,20120313,20111231,1,1
0000790526,20190318,20181231,1,1
0000790703,20110323,20110131,1,1
0000790703,20120321,20120131,1,1
0000790703,20170330,20170131,1,1
0000790703,20160324,20160131,1,1
0000790703,20150326,20150131,1,1
0000790703,20140409,20140131,1,1
0000790703,20180322,20180131,1,1
0000790703,20140205,20130131,1,1
0000790703,20190320,20190131,1,1
0000790703,20090326,20090131,1,1
0000790703,20100324,20100131,1,1
0000790705,20110225,20101231,1,1
0000790705,20100225,20091231,1,1
0000790705,20090226,20081231,1,1
0000790715,20090402,20090131,1,0
0000790715,20110328,20101231,1,1
0000790715,20100401,20100130,1,1
0000790715,20120329,20120128,1,1
0000790715,20130412,20130202,1,1
0000790715,20170330,20170128,1,1
0000790715,20160404,20160130,1,1
0000790715,20140417,20140201,1,1
0000790715,20180424,20180203,1,1
0000790715,20150415,20150131,1,1
0000790730,20100129,20091130,1,
0000790730,20090129,20081130,1,
0000790730,20110131,20101130,1,
0000790818,20110317,20110101,1,1
0000790818,20120315,20111231,1,1
0000790818,20100318,20100102,1,1
0000790818,20090319,20090103,1,1
0000791907,20090814,20090628,1,1
0000791907,20160825,20160703,1,1
0000791907,20100819,20100627,1,1
0000791907,20110824,20110703,1,1
0000791907,20150819,20150628,1,1
0000791907,20140820,20140629,1,1
0000791907,20120829,20120701,1,1
0000791907,20130819,20130630,1,1
0000791908,20100311,20091231,1,1
0000791908,20110310,20101231,1,1
0000791908,20120314,20111231,1,1
0000791908,20190307,20181231,1,1
0000791908,20130312,20121231,1,1
0000791908,20170316,20161231,1,1
0000791908,20180307,20171231,1,1
0000791908,20160309,20151231,1,1
0000791908,20140312,20131231,1,1
0000791908,20150311,20141231,1,
0000791908,20090311,20081231,1,1
0000791915,20100303,20100103,1,1
0000791915,20090226,20081228,1,1
0000791915,20110225,20110102,1,1
0000791915,20120224,20120101,1,1
0000791915,20190227,20181230,1,1
0000791915,20160302,20160103,1,
0000791915,20130228,20121230,1,1
0000791915,20180226,20171231,1,1
0000791915,20170301,20170101,1,1
0000791915,20140227,20131229,1,1
0000791915,20150217,20141228,1,1
0000792130,20181213,20180930,1,1
0000792130,20111222,20110930,1,1
0000792130,20151113,20150930,0,0
0000792130,20161110,20160930,1,0
0000792130,20131217,20130930,0,0
0000792130,20171121,20170930,1,1
0000792130,20121221,20120930,1,0
0000792130,20141205,20140930,0,0
0000792130,20091221,20090930,1,1
0000792130,20101217,20100930,1,1
0000792641,20110114,20101031,1,
0000792641,20090114,20081031,1,
0000792641,20100112,20091031,1,
0000792641,20140113,20131031,1,
0000792641,20130114,20121031,1,
0000792641,20150113,20141031,1,
0000792641,20120113,20111031,1,
0000792977,20090227,20081231,1,1
0000792977,20100226,20091231,1,1
0000792977,20120308,20111231,1,1
0000792977,20110225,20101231,1,1
0000792977,20170221,20161231,1,1
0000792977,20130304,20121231,1,1
0000792977,20180301,20171231,1,1
0000792977,20190301,20181231,1,1
0000792977,20160224,20151231,1,1
0000792977,20140210,20131231,1,1
0000792977,20150218,20141231,1,1
0000792985,20100225,20091231,1,1
0000792985,20090227,20081231,1,1
0000792985,20110224,20101231,1,1
0000792985,20120227,20111231,1,1
0000792985,20130227,20121231,1,1
0000792987,20100301,20091231,1,1
0000792987,20110301,20101231,1,1
0000792987,20090227,20081231,1,1
0000792987,20160229,20151231,1,
0000792987,20140303,20131231,1,1
0000792987,20180301,20171231,1,1
0000792987,20150302,20141231,1,
0000792987,20190318,20181231,1,1
0000792987,20170301,20161231,1,
0000792987,20120229,20111231,1,1
0000792987,20130301,20121231,1,1
0000793074,20160226,20151231,1,1
0000793074,20180227,20171231,1,1
0000793074,20190301,20181231,1,1
0000793074,20170223,20161231,1,1
0000793074,20090302,20081231,1,1
0000793074,20100226,20091231,1,1
0000793074,20120227,20111231,1,1
0000793074,20110301,20101231,1,1
0000793074,20130225,20121231,1,1
0000793074,20150225,20141231,1,1
0000793074,20140225,20131231,1,1
0000793524,20190314,20181231,1,1
0000793524,20120313,20111231,1,
0000793524,20180313,20171231,1,1
0000793524,20110314,20101231,1,1
0000793524,20090310,20081231,1,0
0000793524,20140310,20131231,1,1
0000793524,20170316,20161231,1,1
0000793524,20160310,20151231,1,1
0000793524,20100311,20091231,1,0
0000793524,20130312,20121231,1,0
0000793524,20150311,20141231,1,1
0000793733,20190221,20181231,1,1
0000793733,20180226,20171231,1,1
0000793733,20110225,20101231,1,1
0000793733,20100223,20091231,1,1
0000793733,20090223,20081231,1,1
